Alewife,162,117
Davis,188,115
Porter Square,222,123
Harvard Square,243,143
Central Square,259,162
Kendall/MIT,282,183
Charles/MGH,304,203
Park Street,317,216
Downtown Crossing,334,235
South Station,359,258
Broadway,364,284
Andrew,364,304
JFK/UMass,365,329
Savin Hill,347,343
Fields Corner,333,361
Shawmut,335,375
Ashmont,335,389
Cedar Grove,337,407
Butler,328,423
Milton,312,423
Central Avenue,295,422
Valley Road,278,423
Capen Street,265,423
Mattapan,248,423
North Quincy,408,414
Wollaston,431,432
Quincy Center,451,454
Quincy Adams,471,473
Braintree,475,513
Oak Grove,337,54
Malden Center,336,68
Wellington,335,87
Sullivan Square,334,107
Community College,334,131
North Station,340,155
Haymarket,355,181
State,354,215
Downtown Crossing,337,233
Chinatown,317,252
New England Medical Center,306,263
Back Bay,295,272
Massachusetts Avenue,287,284
Ruggles,274,295
Roxbury Crossing,266,305
Jackson Square,258,314
Stony Brook,249,324
Green Street,238,331
Forest Hills,233,339
Lechmere,302,132
Science Park,323,152
North Station,333,159
Haymarket,347,179
Government Center,340,195
Park Street,315,215
Boylston,305,227
Arlington,287,233
Copley,272,235
Hynes Convention Center,257,234
Kenmore,243,235
Blandford Street,233,227
Boston University East,228,222
Boston University Central,224,219
Boston University West,218,211
St. Paul Street (1),211,205
Pleasant Street,199,205
Babcock Street,191,205
Packards Corner,186,206
Harvard Avenue,176,206
Griggs Street/Long Avenue,170,211
Allston Street,164,216
Warren Street,162,220
Washington Street,157,224
Sutherland Street,153,227
Chiswick Road,147,229
Chestnut Hill Avenue,140,227
South Street,138,225
Boston College,120,208
St. Marys Street,218,236
Hawes Street,214,237
Kent Street,203,237
St. Paul Street (2),200,237
Coolidge Corner,195,237
Summit Avenue,190,237
Brandon Hall,187,237
Fairbanks,183,237
Washington Square,175,237
Tappan Street,166,237
Dean Road,161,237
Englewood Avenue,156,237
Cleveland Circle,148,238
Fenway,218,247
Longwood,205,258
Brookline Village,192,272
Brookline Hills,172,271
Beaconsfield,155,256
Reservoir,144,244
Chestnut Hill,130,242
Newton Center,113,241
Newton Highlands,104,240
Eliot,90,241
Waban,76,240
Woodland,63,241
Riverside,49,241
Prudential,255,264
Symphony,249,268
Northeastern University,244,273
Museum of Fine Arts,241,276
Longwood Medical Area,238,279
Brigham Circle,234,284
Fenwood Street,229,289
Mission Park,228,294
Riverway,227,300
Back of the Hill,227,305
Heath Street,225,318
Wonderland,505,63
Revere Beach,489,80
Beachmont,475,96
Suffolk Downs,465,109
Orient Heights,447,124
Wood Island,430,138
Airport,418,151
Maverick,403,168
Aquarium,374,200
State,358,215
Government Center,336,198
Bowdoin,323,183
